Year	1888	1888	1888	1893	1893	1893	1898	1898	1898	1903	1903	1903	1908	1908	1908	1913	1913	1913	1918	1918	1918	1920	1920	1920	1925	1925	1925	1930	1930	1930	1935	1935	1935	1940	1940	1940	1947	1947	1947	1950	1950	1950	1955	1955	1955	1960	1960	1960	1965	1965	1965	1970	1970	1970	1975	1975	1975	1980	1980	1980	1985	1985	1985	1990	1990	1990	1995	1995	1995	2000	2000	2000	2005	2005	2005
18	627865	318501	309364	800282	405094	395188	848552	428980	419572	830102	419418	410684	862521	438568	423953	954102	486451	467651	1043344	532139	511205	1092646	553269	539377	1157814	589150	568664	1301759	659262	642497	1281349	645384	635965	1431063	715449	715614	1615668	806677	808991	1709995	861541	848454	1767466	888736	878730	1964436	986034	978402	2312850	1166953	1145897	1910047	959808	950239	1536113	778583	757530	1589821	810042	779779	1858950	950503	908447	2021114	1034094	987020	1756325	898934	857391	1510429	772660	737769	1357096	696653	660443
19	632596	320255	312341	778596	393641	384955	853029	431504	421525	828857	417953	410904	917203	465970	451233	927683	473514	454169	1002561	513168	489393	1067518	542900	524618	1011235	519750	491485	1244133	631690	612443	1296390	653743	642647	1369628	688944	680684	1571887	778462	793425	1676691	841618	835073	1788711	897047	891664	1922462	960998	961464	1464676	735091	729585	2019447	1011137	1008310	1612675	814960	797715	1567214	796839	770375	1449484	738969	710515	1970628	1005479	965149	1850609	946955	903654	1530882	784219	746663	1390572	716083	674489
20	720681	367315	353366	769414	389073	380341	841527	426227	415300	865973	435392	430581	891618	454330	437288	884717	449780	434937	1019549	514331	505218	1002757	507656	495101	1029081	522162	506919	1193111	607136	585975	1253110	630192	622918	1430501	721755	708746	1556865	779465	777400	1602810	802744	800066	1728264	864749	863515	1751008	871111	879897	1562257	776412	785845	2186671	1092090	1094581	1682755	851366	831389	1574724	799070	775654	1793326	913438	879888	1906422	973949	932473	1918874	981345	937529	1600338	823540	776798	1442590	741422	701168
21	657044	332457	324587	676343	343620	332723	810077	411754	398323	845522	429125	416397	812942	412210	400732	882816	449660	433156	970746	493208	477538	915908	454593	461315	988413	502399	486014	1181627	593436	588191	1235316	608136	627180	1146298	574274	572024	1514494	743288	771206	1573797	783719	790078	1669124	833829	835295	1535438	761657	773781	1900881	941244	959637	2401081	1195607	1205474	1672475	843081	829394	1602101	811388	790713	1668404	848953	819451	1857127	944150	912977	2009782	1027784	981998	1625091	834550	790541	1471327	753852	717475
22	641691	326722	314969	626397	317886	308511	845652	426814	418838	855446	431056	424390	833108	419455	413653	792098	401304	390794	926160	468751	457409	938223	464661	473562	1025265	518298	506967	1122289	568102	554187	1205723	598567	607156	1156449	578076	578373	1443101	688986	754115	1538907	764479	774428	1691802	843018	848784	1650090	815279	834811	1853003	917413	935590	2403420	1195607	1207813	1789708	898952	890756	1557947	786000	771947	1622440	824689	797751	1813347	919825	893522	2035857	1036176	999681	1680670	858862	821808	1481329	757026	724303
23	695034	353824	341210	600231	304964	295267	771516	389848	381668	820239	415809	404430	798357	402978	395379	829676	422445	407231	909735	463445	446290	883009	448240	434769	1019439	519397	500042	1089434	557128	532306	1212452	610643	601809	1161048	580695	580353	1315568	610123	705445	1518112	752413	765699	1671423	835105	836318	1714822	848971	865851	1916396	949076	967320	2285942	1138769	1147173	1896841	951532	945309	1512204	761782	750422	1568705	795001	773704	1810873	916854	894019	1989775	1011951	977824	1715244	874109	841135	1469413	746565	722848
24	662432	337183	325249	605569	306768	298801	748576	376914	371662	823171	417046	406125	795604	400512	395092	883061	449450	433611	883564	451509	432055	869413	441329	428084	998329	512543	485786	945045	489604	455441	1164470	589245	575225	1172860	585159	587701	1231876	540594	691282	1491916	732460	759456	1642630	819714	822916	1739624	863078	876546	1894982	939824	955158	1450522	722812	727710	2029730	1018595	1011135	1594050	801876	792174	1547679	783914	763765	1412352	713421	698931	1940713	983972	956741	1800117	916181	883936	1485939	755957	729982
25	565596	286454	279142	692773	352743	340030	741252	374171	367081	812537	412211	400326	816387	404516	411871	858950	439346	419604	841865	429658	412207	854425	437897	416528	944858	482679	462179	978773	497517	481256	1121277	567214	554063	1133683	566907	566776	1180268	508479	671789	1402262	674941	727321	1572503	784388	788115	1689923	840007	849916	1743936	864534	879402	1554758	772338	782420	2198303	1103362	1094941	1663062	838484	824578	1560365	788956	771409	1748650	883781	864869	1883050	955370	927680	1880976	955777	925199	1546900	786273	760627
26	528038	267747	260291	627403	318411	308992	647004	327661	319343	780663	397700	382963	799117	401608	397509	781429	397652	383777	841225	429793	411432	814933	417268	397665	880505	452759	427746	948525	487241	461284	1117639	564031	553608	1154924	580306	574618	1125660	484361	641299	1296346	609884	686462	1551558	771468	780090	1634005	812566	821439	1536613	761580	775033	1903968	942980	960988	2418666	1214051	1204615	1666386	838094	828292	1591676	803555	788121	1636327	826886	809441	1852166	937672	914494	1979076	1005385	973691	1588551	806426	782125
27	492257	248681	243576	613750	313469	300281	598732	304114	294618	814361	413026	401335	811704	408120	403584	800164	405621	394543	753305	384342	368963	775477	397286	378191	900130	462125	438005	980860	503125	477735	1065558	542553	523005	1126108	566664	559444	1177516	512924	664592	1216902	543701	673201	1520912	757398	763514	1670163	831572	838591	1664921	824717	840204	1862917	923898	939019	2414709	1213915	1200794	1787518	897409	890109	1555402	784395	771007	1600509	808914	791595	1815863	920132	895731	2016650	1020949	995701	1655017	838134	816883
28	556624	284076	272548	665588	340083	325505	574956	291981	282975	743751	377825	365926	778969	394006	384963	767085	389542	377543	788038	403590	384448	775895	397149	378746	839974	434361	405613	975245	501079	474166	1031687	528353	503334	1122025	562888	559137	990824	445542	545282	1158600	507376	651224	1488679	739378	749301	1654503	828594	825909	1731142	861327	869815	1926284	958982	967302	2308779	1163269	1145510	1897835	952586	945249	1516000	764859	751141	1552063	784220	767843	1816136	920151	895985	1980447	1004494	975953	1701624	861964	839660
29	559941	282911	277030	634492	323864	310628	578454	293383	285071	720892	364985	355907	782087	395430	386657	761436	385501	375935	840139	429508	410631	703219	358405	344814	828004	424578	403426	952231	491795	460436	903922	468097	435825	1084378	546298	538080	1017366	459607	557759	1111010	485996	625014	1470676	722750	747926	1630930	816427	814503	1758615	879403	879212	1900271	947582	952689	1454126	731692	722434	2026554	1018895	1007659	1599959	806565	793394	1533164	774668	758496	1420926	718800	702126	1933160	978672	954488	1787957	905754	882203
30	598633	307536	291097	539077	274532	264545	665177	339995	325182	714479	362590	351889	772799	391800	380999	782980	390809	392171	813510	418359	395151	739341	378262	361079	806133	417464	388669	895532	461605	433927	932966	474670	458296	1046134	527477	518657	1027974	470024	557950	1171091	517749	653342	1391573	672348	719225	1566231	784994	781237	1698218	851704	846514	1755444	875276	880168	1579125	789707	789418	2192482	1102659	1089823	1671589	844981	826608	1549317	781953	767364	1760060	891348	868712	1884260	955040	929220	1873576	949205	924371
